title,year,authors,note,edition,editors,publisher,ISBN
100 Select Classic Rocky Mountain National Park Climbs,1998,"Michael Stevens, Fred Knapp",out of print,,,,
1995 Boulder Sport Climber's Guide,1995,Mark Rolofson,out of print,,,,
2019 Boulder Canyon,2019,"Jason Haas, Chris Weidner",,,,,
A cheap way to fly: Free climbing guide to Northern Arizona ,1991,Tim Toula ,out of print,3,,Little Wanderer Publishing,
A Climber's Guide for Pinnacles National Monument,2022,Brad Young,out of print,1,,Self Published,978-0-9797421-0-1
A Climber's Guide To Courtright Reservoir & Vicinity,,Dwight Kroll,,,,K. Daniels Publishing,978-0-692-03319-7
A climber's guide to Killarney Park: George Lake,1982,Jean-Marie Filion,,,,,
A Climber's Guide to the Ophir Wall,1988,Allen Pattie,out of print,,,,
A Climber's Guide to the Rocky Mountain National Park Area,1971,Walter Fricke,out of print,,,,
A climber's guide to the sonora pass highway,2013,"Brad Young, Steve Dawson",,2,,Self-published,978-0-9797421-2-5
A climber's guide to the Teton Range,1975,Leigh Ortenburger ,,,,,
A Climber's Guide to the Teton Range,2023,"Leigh Ortenburger, Reynold Jackson",,4,,Mountaineers Books,978-1-68051-197-0
A Climber's Guide To The Teton Range -Third Edition,1996,Reynold Jackson,,3,,,
A Climber's Guide to Yosemite Valley,1982,Steve Roper,,,,,
A Climber’s Guide To Big Bear Lake And Holcomb Valley Pinnacles,2020,Brandon Copp,,1,,Wolverine Publishing,9781938393372
A climbers guide to the mid-South: Selected routes,1982,"Jim Detterline, Tony Reed",,,,Earthbound Enterprises,
A Complete Bouldering Guide to Joshua Tree National Park,2003,Robert Miramontes ,,,,K. Daniels Publishing,978-0972937306
A Granite Guide,2016,"Nathan Smith, Andrew Burr, Tyler Phillips",,,,Pull Publishing,
A guide to rock climbing in the Spokane area,1983,Robert D Loomis ,,,,,
A Rock Climber's Guide to Lolo Pass,2023,"Mack Moore, Harrison Schutt",,,,Self Published,
A Rock Climber's Guide To The Peter's Kill Climbing Area,2015,"Mike Rawdon, Marty Molitoris",,,,,
"A rock climber's guide: Cannon, Cathedral, Humphrey's and Whitehorse",1982,Paul Ross,,,,,
A rock climbing guide to Cathedral and White Horse ledges,1969,Joseph Cote,,,,,
A rock climbing guide to Cathedral and Whitehorse ledges ,1996,Jerry Handren,,,,,
A topo guide to Icicle Canyon rock climbs,1989,Viktor Kramer ,,,,,
Adirondack Park Bouldering,2016,Justin Sanford,,,,,
Adirondack Rock,2014,"Jim Lawyer, Jeremy Haas",,2,,,
Adirondack Rock: A Rock Climber's Guide,2008,"Jim Lawyer, Jeremy Haas ",,,,,
Alaska Climbing,2006,Joseph Puryear,,1,,Supertopo,
Alaska Rock Climbing Guide ,2009,Kelsey Gray,,,,,
Alaska Rock Climbing Guide,2012,Kelsey Gray,,2,,,
Alaska: A Climbing Guide,2002,"Colby Coombs, Michael Wood",,,,Mountaineers Books,
